namespace,cbb_items
AT#rvctnBizCdNbr,Revocation Business Code Number
AT#rvctnDeptId,Revocation Department Identification
AT#rvctnDeptNm,Revocation Department Name
AT#rvctnDt,Revocation Date
AT#rvctnHms,Revocation Time
AT#rvctnRsnCd,Revocation Reason Code
AT#rvctnRsnCntnt,Revocation Reason Content
AT#rvctnSrvcBlckngStsBizCd,Revocation Service Blocking Status Business Code
AT#rvctnSrvcBlckngStsBizCdNbr,Revocation Service Blocking Status Business Code Number
AT#rvctnStaffId,Revocation Staff Identification
AT#rvctnStaffNm,Revocation Staff Name
AT#rvctnStsChngTxDt,Revocation Status Change Transaction Date
AT#rvctnStsChngTxSeqNbr,Revocation Status Change Transaction Sequence Number
AT#rvctnTmstmp,Revocation Timestamp
AT#rvctnYn,Revocation YN
AT#rvlvngAgrmntBillRt,Revolving Agreement Bill Rate
AT#rvlvngMemberChargeYnChangeDt,Revolving Member Change Yes or No Change Date
AT#rvlvngMemberYn,Revolving Member Yn
AT#rvlvngYn,Revolving Yes or No
AT#rvrsdIntAmt,Reversed Interest Amount
AT#rvrsdTax,Reversed Tax Amount
AT#safCreateCd,Saf Create Code
AT#safUpdtYn,Saf Update Yn
AT#salableAmt,Salable Amount
AT#salableYn,Salable Yn
AT#salaryKndCd,Salary Kind Code
AT#salaryTrnsfrAplctnYn,Salary Transfer Application Yn
AT#saleAcptncDt,SalesRcptnDt
AT#saleAcptncYn,Sales Reception Yes or No
AT#saleAmt,Sales Figures
AT#saleCnclDscd,Sales Cancel Distinction Code
AT#saleCorpNm,Sale Corporate Name
AT#saleDt,Sale Date
AT#saleDtlsLnPdCd,Sale Details Loan Product Code
AT#saleDtlsPdCd,Sale Details Product Code
AT#saleEndDt,Sales End Date
AT#saleEndDtm,Sale End Date Time
AT#saleEndHms,Sale End Hms
AT#saleEndTmstmp,Sale End Timestamp
AT#saleLnLmtAgrmntPdCd,Sale Loan Limit Agreement Product Code
AT#salePdCd,Sales Product Code
AT#salePrfrmncAmt,Sales Performance Amount
AT#saleSeqNbr,Sales Sequence Number
AT#saleStartDt,Sale Start Date
AT#saleStartDtm,Sale Start Date Time
AT#saleStartHms,Sale Start Hms
AT#saleStartTmstmp,Sale Start Timestamp
AT#saleTotAmt,sales Total Amt
AT#salesAmt,Sales Amount
AT#salesDscd,Sales Distinctioncode
AT#salesDt,SalesDt
AT#salesRcvDt,
AT#sameCustChkYn,Same Customer Check Yn
AT#saveBnftAcptncStaffId,Save Benefit Reception Staff Identification
AT#saveBnftAlncDscd,SAVE Benefit Alliance Distinction Code
AT#saveBnftRqstDscd,SAVE Benefit Request Distinction Code
AT#saveBnftSaleAcptncDt,Save Benefit Sales Reception Date
AT#saveBnftSlipBatchNbr,Save Benefit Slip Batch Number
AT#saveBnftSlipBatchSeqNbr,Save Benefit Slip Batch Sequence Number
AT#saveState,save state
AT#saveStsCd,Save Status Code
AT#sbscrbDt,Subscribe Date
AT#sbscrbEndDt,Subscribe End Date
AT#sbscrbLmtCnt,Subscribe Limit Count
AT#sbscrbStartDt,Subscribe Start Date
AT#sbscrbStsCd,Subscribe Status Code
AT#sbstttPrice,Substitute Price
AT#sbstttPriceBaseDt,Substitute Price Base Date
AT#sbtrctnAmt,Subtraction Amount
AT#schdlCnt,Schedule Count
AT#schdlCntnt,Schedule Content
AT#schdlDayGenWayCd,Schedule Day Generation Way Code
AT#schdlTpCd,Schedule Type Code
AT#schdldPrcsBrnchCd,Scheduled Processing Branch Code
AT#schdldPrcsUserNbr,Scheduled Processing User Number
AT#schldtlYn,Schuldtitel Yn
AT#scnd,Second
AT#scndAplyRt,Second Apply Rate
AT#scndCatalogId,Second Catalog Identification
AT#scndMonthlyRpymntAmt,Second Monthly Repayment Amount
AT#scndryBitmapCntnt,Secondary Bitmap Content
AT#scndryBldgNbr,Secondary Building Number
AT#scndryOprtnStaffId,Secondary Operation Staff Identification
AT#scndrySpvsrStaffId,Secondary Supervisor Staff Identification
AT#score,Score
AT#scrnAtrbtNm,Screen Attribute Name
AT#scrnChngAblYn,Screen Change Able Yn
AT#scrnDescCntnt,Screen Description Content
AT#scrnDsplyCd,Screen Display Code
AT#scrnEngNm,Screen English Name
AT#scrnGenPtrnCd,Screen Generation Pattern Code
AT#scrnHlpCntnt,Screen Help Content
AT#scrnId,Screen Idenfication
AT#scrnInpFldVrtnTpCd,Screen Input Field Variation Type
AT#scrnInpYn,Screen Input Yn
AT#scrnNbr,Screen Number
AT#scrnNm,Screen Name
AT#scrnPrcsParmCntnt,Screen Process Parameter Content
AT#scrnPtrnCd,Screen Pattern Code
AT#scrnUrl,Scrren Url
AT#scrnUrlAddr,Screen Address
AT#scrnUseYn,Screen Use Yn
AT#scrptCntnt,Script
AT#scrtsIdNbr,Securities Identification Number
AT#scrtsIdNm,Securities Identification Name
AT#scrtsNbr,Securities Number
AT#scrtyIntAmt,Security Interest Amount
AT#scrtyIntArrId,Security Interest Arrangement Identification
AT#scrtyIntArrRelCd,Security Interest Arrangement Relation Code
AT#scrtyIntCustRelCd,Security Interest Customer Relation Code
AT#scrtyIntCustRelStsCd,Security Interest Customer Relation Status Code
AT#scrtyIntDeptRelCd,Security Interest Department Relation Code
AT#scrtyIntDeptRelStsCd,Security Interest Department Relation Status Code
AT#scrtyIntDt,Security Interest Date
AT#scrtyIntId,Security Interest Identification
AT#scrtyIntPrity,Security Interest Priority
AT#scrtyIntPstnNbr,Security Interest Position Number
AT#scrtyIntRt,Security Interest Rate
AT#scrtyIntStsCd,Security Interest Status Code
AT#scrtyIntStsChngRsnCd,Security Interest Status Change Reason Code
AT#scrtyIntStsDt,Security Interest Status Date
AT#scrtyIntTpCd,Security Interest Type Code
AT#scrtyQstnrChkRsltTpCd,Security Questionnaire Check Result Type Code
AT#scrtyQstnrErrAllwncCnt,Security Questionnaire Error Allowance Count
AT#scrtyQstnrErrCnt,Security Questionnaire Error Count
AT#scrtyQstnrErrCntExcsYn,Security Questionnaire Error Count Excess Yn
AT#scrtyQstnrLockResidualDtm,Security Questionnaire Lock Residual Date Time
AT#scrtyQstnrLockTmCd,Security Questionnaire Lock Time
AT#scrtyQstnrLockTmTrmCnt,Security Questionnaire Lock Time Term Count
AT#scrtyQstnrMaxLen,Security Questionnaire Maximum Length
AT#scrtyQstnrMinLen,Security Questionnaire Minimum Length
AT#scsflBidCnt,Successful Bid Count
AT#scsflBidRt,Successful Bid Rate
AT#scsflBidRtTrmCd,Successful Bid Rate Term Code
AT#scsflBidValRt,Successful Bid Value Rate
AT#scsflBidValSumAmt,Successful Bid Value Sum Amount
AT#sctnAplyTaxRt,Section Apply Tax Rate
AT#sctnClsgBal,Section Closing Balance
AT#sctnEndDt,Section End Date
AT#sctnStartDt,Section Start Date
AT#securedDebtCnfrmtnDscd,Secured Debt Confirmation Distinctioncode
AT#securedDebtCnfrmtnDt,Secured Debt Confirmation Date
AT#securedLnArrId,Secured Loan Arrangement Identification
AT#selfAuthCnfrmJson,Self Authentication Confirm Json
AT#selfAuthDpstAcctNbr,Self Authentication Deposit Account Number
AT#selfAuthId,Self Authentication Id
AT#selfAuthPymntFnclInstCd,Self Authentication Payment Financial Institution Code
AT#selfAuthRcvdAmt,Self Authentication Received Amount
AT#selfCardId,Self Card Identification
AT#selfChnlAcctgDeptId,Self Channel Accounting Department Identification
AT#selfChnlAcctgDeptPrcsDscd,Self Channel Accounting Department Process Distiction
AT#selfChnlCustMgmtDeptId,Self Channel Customer Management Department When Registration
AT#selfChnlSesnCd,Self Channel Session
AT#selfCrdtTxAmt,Self Credit Transaction Amount
AT#selfCrdtTxCnclAmt,Self Credit Transaction Cancel Amount
AT#selfCrdtTxCnclCnt,Self Credit Transaction Cancel Count
AT#selfCrdtTxCnt,Self Credit Transaction Count
AT#selfDebitTxAmt,Self Debit Transaction Amount
AT#selfDebitTxCnclAmt,Self Debit Transaction Cancel Amount
AT#selfDebitTxCnclCnt,Self Debit Transaction Cancel Count
AT#selfDebitTxCnt,Self Debit Transaction Count
AT#selfSrvcDfltVal,Self Service Default Value
AT#selfSrvcTxPswd,Self Service Transaction Password
AT#selfVal,Self Value
AT#sellBaseMarginRt,Selling Base Margin Rate
AT#sellDlgtdMarginRt,Selling Delegated Margin Rate
AT#sellMarginRt,Selling Margin Rate
AT#sellTcListJson,Sell Traveler Check List Json
AT#sellTcPdCd,Sell TC Product Code
AT#seoulWaterSewageCustNbr,Seoul Water Sewage Customer Number
AT#seqCd,Sequence Code
AT#seqNbr,Sequence Number
AT#seqNbrLen,Sequence Number Length
AT#seqNm,Sequence Name
AT#serialTelNbr,Serial Telephone Number
AT#serialTelNbrLen,Serial Telephone Number Length
AT#sesnEfctvHms,Session Effective Millisecond
AT#sesnId,Session Identification
AT#sesnKeyCntnt,Session Key Content
AT#settingDcsnDscd,Setting Decision Distinctioncode
AT#settingSeqNbr,Setting Sequence Number
AT#sgstnEngWrdNm,Suggestion English Word Name
AT#sharesRt,Shares Rate
AT#sheetDscd,Sheet Distinctioncode
AT#shopLeaseRegionDscd,Shop Lease Region Distinctioncode
AT#shopOwnDscd,Owned Shop Scale
AT#shpmntDocsAcptncDscd,Shipment Documents Acceptance Distinctioncode
AT#shpmntDt,Shipment Date
AT#shpmntDueDt,Shipment Due Date
AT#shpmntNatCd,Shipment Nation Code
AT#shpmntPortNm,Shipment Port Name
AT#shrnAreaVal,Sharing Area Value
AT#shrnDt,Sharing Date
AT#shrnDvisnCd,Sharing Department Code
AT#shrnHms,Sharing Hhmmss
AT#shrnObjId,Sharing Object Identification
AT#shrnSeqNbr,Sharing Sequence Number
AT#shrnTmstmp,Sharing Timestamp
AT#shrnTpDscd,Sharing Type Distinction
AT#shrnTrgtDscd,Sharing Target Distinction
AT#shrnUserNbr,Sharing User Number
AT#shrngDeptCd,Sharing Department Code
AT#siggAddr,Si Gu Gun Address
AT#signCd,Sign Code
AT#signCntnt,Sign Content
AT#simpleGiroPymntNbr,Simple Giro Payment Number
AT#simplePymntAmt,Simple Payment Amount
AT#simplePymntHstCntnt,Simple Payment History Content
AT#simplePymntNbr,Simple Payment Number
AT#simpleTrnsfrRcvrMobilePhoneNbr,Simple Transfer Receiver Mobile Phone Number
AT#simpleTrnsfrRcvrNm,Simple Transfer Receiver Name
AT#singleBrwrCrdtLmtAmt,Credit Limit Amount
AT#singleBrwrCrdtLmtSpareAmt,Credit Limit Spare Amount
AT#singleBrwrCrdtLnAmt,Credit Loan Amount
AT#singleBrwrGrntAmt,Guarantee Amount
AT#singleBrwrGrntLmtAmt,Guarantee Limit Amount
AT#singleBrwrGrntLmtSpareAmt,Guarantee Limit Spare Amount
AT#singleBrwrTotLmtAmt,Total Limit Amount
AT#singleBrwrTotLmtSpareAmt,Total Limit Spare Amount
AT#singleBrwrTotLnAmt,Total Loan Amount
AT#singleValYn,Single Value Yes or No
AT#siteChkStaffDeptNm,Site Check Staff Department Name
AT#siteChkStaffId,Site Check Staff Identification
AT#siteChkStaffNm,Site Check Staff Name
AT#siteLbrtryDscd,Site LaboratoryDistinction
AT#siteVisitDt,Site Visit Date
AT#slctblListCdCnt,Selectable List Code Count
AT#slctdYn,Selected Yn
AT#slctnScrnId,Selection Screen Identification
AT#slipCnt,Slip Count
AT#slipDscd,Slip Print
AT#slipNbr,Slip No.
AT#slipOcrDscd,Slip occurrence Distinction
AT#smallAcctgCd,Small Accounting Code
AT#smallCrdtAplctnYn,Small Credit Application Yn
AT#smallCrdtLmtAmt,Small Credit Limit Amount
AT#smallCrdtSrvcAplctnYn,Small Credit Service Application Yn
AT#smallDpstAmt,Small Deposit Amount
AT#smltnSaleAmt,Simulation Sale Amount
AT#smltnYn,Simulation Yn
AT#smsAuthCntnt,Sms Authentication Content
AT#smsAuthErrAllwncCnt,Sms Authentication Error Allowance Count
AT#smsAuthLockExprtnTmstmp,SMS Authentication Lock Expiration Timestamp
AT#smsAuthLockTmCd,Sms Authentication Lock Time
AT#smsAuthLockTmTrmCnt,Sms Authentication Lock Time Term Count
AT#smsAuthNbrLen,Sms Authentication Number Length
AT#smsAuthYn,Sms Authentication Yn
AT#smsNoticeInfoJson,SMS Notice Information JSON
AT#smsRcvAgrmntYn,Sms Receive Agreement Yn
AT#smsRcvrTelNbr,Sms Receiver Telephone Number
AT#smsSndYn,Sms Send Yn
AT#smtnAmt,Summation Amount
AT#smtnBaseDt,Summation Base Date
AT#smtnCnt,Summation Count
AT#smtnItmCd,Summation Item Code
AT#smtnTrgtTxDscd,Summation Target Transaction Distinction
AT#sndAfBackupPathCntnt,Send After Backup Path Content
AT#sndAfPrcsngTpCntnt,Send After Processing Type Content
AT#sndAmt,Send Amount
AT#sndBackCd,Send back Code
AT#sndCashAmt,Send Cash Amount
AT#sndChkAmt,Send Check Amount
AT#sndChkCnt,Send Check Count
AT#sndCnt,Send Count
AT#sndDt,Send Date
AT#sndDtm,Send Date Time
AT#sndFileCnt,Send File Count
AT#sndFinYn,send finish yn
AT#sndFrgnAmt,Send Foreign Amount
AT#sndGuid,Send Guid
AT#sndInstMsgCd,Send Institution Message Code
AT#sndMediaTpCd,Send Media Type Code
AT#sndNatCd,Send Nation Code
AT#sndPlcNm,Send Place Name
AT#sndQueueId,Send Queue Identification
AT#sndRcvAmt,Send Receive Amount
AT#sndRcvChkCnt,Send Receive Check Count
AT#sndRcvDscd,Send Receive Distinction
AT#sndRcvEndTmstmp,Send Receive End Timestamp
AT#sndRcvFileCd,Send Receive File Code
AT#sndRcvFileCdNm,Send Receive File Code Name
AT#sndRcvFlagCd,Send Receive Flag Code
AT#sndRcvFlagCntnt,Send Receive Flag Content
AT#sndRcvFrgnAmt,Send Receive Foreign Amount
AT#sndRcvMsgNbr,Send Receive Message Number
AT#sndRcvMsgTraceNbr,Send Receive Message Trace Number
AT#sndRcvPrcsngHms,Send Receive Processing Hms
AT#sndRcvRmkCntnt,Send Receive Remark Content
AT#sndRcvRspnsCd,Send Receive Response Code
AT#sndRcvRspnsMsgCntnt,Send Receive Response Message Content
AT#sndRcvTmstmp,Send Receive Timestamp
AT#sndRcvTraceNbr,Send Receive Trace Number
AT#sndRcvTrgtDscd,Send Receive Target Distinction
AT#sndRcvdDscd, Sending and receiving Distinction
AT#sndRcvdTmstmp,Send Received Timestamp
AT#sndStaffId,Send Staff Identification
AT#sndSysId,Send System Identification
AT#sndTmstmp,Send Timestamp
AT#sndTrgtDscd,Send Target Distinction Code
AT#sndTrgtFileNm,Send Target File Name
AT#sndTrgtTpDscd,Sending Target Type Distinction
AT#sndTrnsfrAmt,Send Transfer Amount
AT#sndUserId,Send User Identification
AT#sndUserNm,Send User Name
AT#sndrCtcptCntnt,Sender Contact Point Content
AT#sndrEmailAddrNm,Sender Email Address Name
AT#sndrId,Sender Identification
AT#sndrNm,Sender Name
AT#sndrPswd,Sender Password
AT#sndrPswdNm,Sender Password Name
AT#sndrTelNbr,Sender Telephone Number
AT#snpshtDt,Snapshot Date
AT#snpshtHms,Snapshot Time
AT#socialNbr,Social Security Number
AT#sortSeqNbr,Sort Sequence Number
AT#spcfcHndlngBrnchCd,Specific Handling Branch Code
AT#specialBondRevenueCostAmt,Special Bond Revenue Cost Amount
AT#specialBondRevenueDt,Special Bond Revenue Date
AT#specialBondRevenueIntAmt,Special Bond Revenue Interest Amount
AT#specialBondRevenuePrncpl,Special Bond Revenue Principal
AT#specialBondRprtngDscd,Special Bond Reporting Distinction
AT#specialCnsmptnTax,Special Consumption Tax
AT#specialDlvryAddrCd,Special Serve Address Code
AT#specialDlvryAplctnYn,Special Serve Application Yn
AT#specialDlvryWayCd,Special Serve Way Code
AT#specialIntRpymntAmt,Special Interest Repayment Amount
AT#specialNteCntnt,Special Note Content
AT#specialPrncplRpymntAmt,Special Principal Repayment Amount
AT#specialPrpymntsRpymntAmt,Special Prepayments Repayment Amount
AT#specialRelDscd,Special Relation Distinctioncode
AT#specialRpymntDscd,Special Repayment Distinction
AT#specialRuralDvlpmntTax,Special Rural Development Tax
AT#speedInqryAcctListJson,Speed Inquiry Account List Json
AT#spldHousehldCnt,Supplied Household Count
AT#splyAreaVal,Supply Area Value
AT#splyChnFnncInqryDscd,Supply Chain Finance Inquiry Distinction Code
AT#splyChnFnncLnLmtAgrmntPdCd,Supply Chain Finance Loan Limit Agreement Product Code
AT#splyChnFnncThirdPartyPdCd,Supply Chain Finance Third Party Product Code
AT#splyChnFnncTxDscd,Supply Chain Finance Transaction Distinction Code
AT#splyChnFnncUseAgrmntPdCd,Supply Chain Finance Use Agreement Product Code
AT#spnsAcctChngDscd,Suspense Account Change Distinction
AT#spnsAcctPrcsngDscd,
AT#spnsDt,Suspense Date
AT#spouseAnlzdIncomeAmt,Spouse Annualized Income Amount
AT#spouseBizIncomeAmt,Spouse Business Income Amount
AT#spouseChngLonTrgtAmt,Spouse Change Lon Target Amount
AT#spouseDebtSumAmt,Spouse Debt Sum Amount
AT#spouseLbrIncomeAmt,Spouse Labor Income Amount
AT#spouseLeaseIncomeAmt,Spouse Lease Income Amount
AT#spouseOthrBnkLonAmt,Spouse Other Bank Lon Amount
AT#spouseOthrIncomeAmt,Spouse Other Income Amount
AT#spouseOwnBnkAlreadyLonAmt,Spouse Own Bank Already Lon Amount
AT#spouseOwnOthrBnkDpstlmLonAmt,Spouse Own Other Bank Deposit Installment Lon Amount
AT#spouseTotIncomeAmt,Spouse Total Income Amount
AT#sprdAplyFormulaCd,Spread Apply Formula Code
AT#sprdRt,Spread Rate
AT#sprfcsSettingDt,Superficies Setting Date
AT#sprfcsSettingYn,Superficies Setting YN
AT#spvsrAprvlRsnCnt,Supervisor Approval Reason Count
AT#spvsrAprvlYn,Supervisor Approval Yn
AT#spvsrAthrznDscd,Supervisor Authentication Distinction
AT#spvsrAthrznPrcsCnt,Supervisor Authorization Processing Count
AT#spvsrAthrznRsnCd,Supervisor Authorization Reason Code
AT#spvsrAthrznRsnCntnt,Supervisor Authorization Reason Content
AT#spvsrAthrznUserNbr,Supervisor Authorization User Number
AT#spvsrBrnchCntnt,Supervisor Branch Content
AT#spvsrStaffCntnt,Supervisor Staff Contents
AT#spvsrStaffId,Supervisor Staff Identification
AT#spvsrStaffNm,Supervisor Staff Name
AT#sqlErrYn,SQL ERROR YN
AT#sqntlPrcsngKeyVal,Sequential Processing Key Value
AT#srcDataCntnt,Source Data Content
AT#srcSysFileNm,Source System File Name
AT#srcSysFilePathNm,Source System File Path Name
AT#srchAlChildDeptYn,Search All Child Department YN
AT#srchBaseCntnt,Search Item
AT#srchEndDtm,Search End Date Time
AT#srchStartDtm,Search Start Date Time
AT#srfcAplyRt,Surface Apply Rate
AT#srvcAbrvtnNm,Service Abbreviation Name
AT#srvcBlckngAmt,Service Blocking Amount
AT#srvcBlckngStsBizCd,Service Blocking Status Business Code
AT#srvcBlckngStsBizCdNbr,Service Blocking Status Business Code Number
AT#srvcCalcnTpCd,Service Calculation Type Code
AT#srvcCallBfAfCommitCd,Service Call Before After Commit Code
AT#srvcCallBfAfHstCreateCd,Service Call Before After History Create Code
AT#srvcCd,Service Code
AT#srvcClassNm,Service Class Name
AT#srvcCmpntCd,Service Component Code
AT#srvcCntrctNbr,Service Contract Number
AT#srvcFtrCntnt,Service Feature Contents
AT#srvcId,Service Identification
AT#srvcInpClassNm,Service Input Class Name
AT#srvcInpVldtnMndtryYn,Service Input Validation Mandatory Yn
AT#srvcLastChngGuid,Service Last Change Guid
AT#srvcMthdNm,Service Method Name
AT#srvcNm,Service Name
AT#srvcOutpClassNm,Service Output Class Name
AT#srvcPrcsngCd,Service Processing Code
AT#srvcPrflAtrbtNm,Service Profile Atrribute Name
AT#srvcPrflCntnt,Service Profile Contents
AT#srvcPrflDescCntnt,service profile description content
AT#srvcPrflNm,Service Profile Name
AT#srvcRstrctnCd,Service Limit Code
AT#srvcRstrctnDtm,Service Restriction Date Time
AT#srvcRstrctnEndDtm,Service Restriction End Date Time
AT#srvcRstrctnEndTmstmp,Service Restriction End Timestamp
AT#srvcRstrctnRgstrnRsnCntnt,Service Restriction Registration Reason Content
AT#srvcRstrctnRgstrnYn,Service Restriction Registration Yn
AT#srvcRstrctnStartDtm,Service Restriction Start Date Time
AT#srvcRstrctnStartTmstmp,Service Restriction Start Timestamp
AT#srvcRstrctnTrgtCntnt,Service Restriction Target Contents
AT#srvcRstrctnTrmntnRsnCntnt,Service Restriction Termination Reason Content
AT#srvcRuleId,Service Rule Identification
AT#srvcRuleNm,Service Rule Name
AT#srvcSeq,Service Sequence
AT#srvcStsCd,Service Status Code
AT#srvcTermsAgrmntYn,Service Terms Agreement Yn
AT#srvcTpCd,Service type Code
AT#srvcTpDscd,Service Type Distinction Code
AT#srvcTrmYrCnt,Service Life Years
AT#srvcTrmntnYrCnt,Service Termination Year Count
AT#srvcUseYn,Service Use Yn
AT#srvrFileNm,Server File Name
AT#srvrFilePath,Server File Path
AT#srvrId,Server Identification
AT#srvrIp,Server IP
AT#srvrNm,Server Name
AT#srvrSeqNbr,Server Sequence Number
AT#staffCnt,Staff Count
AT#staffEmplymntTpCd,staff employment type code
AT#staffExmntnCmntCntnt,Staff Examination Comment Content
AT#staffId,Staff ID
AT#staffLoinHstSeqNbr,Staff Login History Sequence Number
AT#staffNm,Staff Name
AT#staffRoleChngRsnCd,Staff Role Change Reason Code
AT#staffRoleChngRsnCntnt,Staff Role Change Reason Content
AT#staffRoleSeqNbr,Staff Role Sequence Number
AT#staffRoleStsCd,Staff Role Status Code
AT#staffRoleStsChngRsnCd,Staff Role Status Change Reason Code
AT#staffRoleStsChngRsnCntnt,Staff Role Status Change Reason Content
AT#staffSeqNbr,Staff Sequence Number
AT#staffStsCd,Staff Status Code
AT#staffStsChngRsnCd,Staff Status Change Reason Code
AT#staffStsChngRsnCntnt,Staff Status Change Reason Content
AT#staffTpCd,staff type code
AT#staffTxSeqNbr,Staff Transaction Sequence Number
AT#stampTax,Stamp Tax
AT#startAptNbr,Start Apt Number
AT#startChrCntnt,Start Character Content
AT#startCrtfctNbr,Start Certificate Number
AT#startDt,StartDt
AT#startDtm,Start Date Time
AT#startHousehldAddr,Start Household Address
AT#startMktgDt,Start Marketing Date
AT#startMnthCnt,Start Month Count
AT#startNbr,Start Number
AT#startNbrAddr,Start Number Of Address
AT#startNth,Start Nth
AT#startOprtngDt,Start Operating Date
AT#startPdCd,Start Product Code
AT#startPortNbr,Start Port Number
AT#startRaisingDt,Start Raising Date
AT#startScore,Start Score
AT#startScrtsNbr,Start Securities Number
AT#startSeq,Start Sequence
AT#startSeqNbr,Start Sequence Number
AT#startStepYn,Start Step Yn
AT#startTmstmp,Start Timestamp
AT#startTpCd,Start Type
AT#startTxHms,From Time
AT#stbltyScore,Stability Score
AT#stckReleaseDscd,Inbound and outbound Distinction
AT#stdAmt,Standard Amount
AT#stdAtrbtVldtnRuleCntnt,Standard Attribute Validation Rule Content
AT#stdAtrbtVldtnUseYn,Standard Attribute Validation Use Yn
AT#stdAtrbtVldtnWayCd,Standard Attribute Validation Way Code
AT#stdAtrbtVldtnXtnRuleCntnt,Standard Attribute Validation Extend Rule Content
AT#stdBizCtgryCd,Standard Business Category Code
AT#stdClassNm,Standard Class Name
AT#stdCourierPostalDayCnt,Standard Courier Postal Days
AT#stdEngAbrvtnNm,Standard English Abbreviation
AT#stdIndsClCd,Standard Industry Classification
AT#stdMsgTrnsfrmId,Standard Message Transform Identification
AT#stdMsgVersionCntnt,Standard Message Version Content
AT#stdYn,Standard Yn
AT#stepCndCd,Step Condition Code
AT#stepCnt,Step Count
AT#stepDescCntnt,Step Description Content
AT#stepEndHms,step end hour minute second
AT#stepEndStsCd,Step End Status Code
AT#stepId,Step Identification
AT#stepNm,Step Name
AT#stepRuleId,Step Rule Identification
AT#stepSeq,Step Sequence
AT#stepStartHms,step start hour minute second
AT#stepStsCd,Step Status Code
AT#stepTpCd,Step Type Code
AT#stepVarId,Step Variable Identification
AT#stepVarVal,Step Variable Value
AT#stepWflowId,Step Workflow Identification
AT#stepWflowStepId,Step Workflow Step Identification
AT#stlmntAcctNbr,Settlement Account Number
AT#stlmntAfAccruedIntAmt,Settlement After Accrued Interest Amount
AT#stlmntAfAccuredIntAmt,Accrued Interest Amount After Settlement
AT#stlmntAfBal,Settlement After Balance
AT#stlmntAfIntTrgtBal,Settlement After Interest Target Balance
AT#stlmntAmt,Settlement Amount
AT#stlmntBaseDt,Settlement Base Date
AT#stlmntBfBal,Settlement Before Balance
AT#stlmntBfIntTrgtBal,Settlement Before Interest Target Balance
AT#stlmntBnkBic,Settlement Bank BIC
AT#stlmntBnkNm,Settlement Bank Name
AT#stlmntClassNm,Settlement Class Name
AT#stlmntCmpnstnBizCd,Settlement Compensation Business Code
AT#stlmntCmpnstnBizNm,Settlement Compensation Business Name
AT#stlmntCmpnstnDscd,Settlement Compensation DistinctionCode
AT#stlmntCrctnBizNm,Settlement Correction Business Name
AT#stlmntCrctnDscd,Settlement Correction Distinction Code
AT#stlmntDscd,Settlement DistinctionCode
AT#stlmntDt,Settlement Date
AT#stlmntDtlTpCntnt,Settlement Detail Type Content
AT#stlmntEdctnTxAmt,Settlement Education Transaction Amount
AT#stlmntHstBizDscd,Settlement History Business Distinction Code
AT#stlmntHstDscd,Settlement History Distinction Code
AT#stlmntHstSeqNbr,Settlement History Sequence Number
AT#stlmntMnth,Settlement Month
AT#stlmntNth,Settlement Nth
AT#stlmntNxtDt,Settlement Next Date
AT#stlmntOrgnlTxDscd,Settlement Original Transaction Dscd
AT#stlmntPrcsSeqNbr,Settlement Processing Sequence Number
AT#stlmntPrcsngYn,Settlement Processing Yn
AT#stlmntPrgrsDscd,Settlement Progress DistinctionCode
AT#stlmntPrgrsPrcsStsCd,Settlement Progress Process Status Code
AT#stlmntSchdldDt,Settlement Scheduled Date
AT#stlmntTotAmt,Settlement Total Amount
AT#stndngOrderAcctNbr,Standing Order Account Number
AT#stndngOrderAgrmntId,Standing Order Agreement Identification
AT#stndngOrderCyclDscd,Standing Order Cycle Distinction Code
AT#stndngOrderDay,Standing Order Day
AT#stndngOrderEndDt,Standing Order End Date
AT#stndngOrderKndCd,Standing Order Kind Code
AT#stndngOrderPdCd,Standing Order Product Code
AT#stndngOrderRgstrnYn,Standing Order Registration Yn
AT#stndngOrderSpcfcDay,Standing Order Specific Day
AT#stndngOrderStartDt,Standing Order Start Date
AT#stockListingDt,Stock Listing Date
AT#stockListingUnlstdDscd,Stock Listed
AT#stockQnty,Stock Quantity
AT#stopCnt,Stop Count
AT#stopDayCnt,Stop Day Count
AT#stopSqntlPrcsngKeyYn,Stop Sequential Processing Key Yn
AT#storageQnty,Storage Quantity
AT#strnDt,strnDt
AT#strtgGradeCd,Strategy Grade Code
AT#stsCd,Status Code
AT#stsChngArrId,Status Change Arrangement Identification
AT#stsChngBrnchCd,Status Change Branch Code
AT#stsChngDeptId,Status Change Department Identification
AT#stsChngDt,Status Change Date
AT#stsChngHms,Status change time
AT#stsChngRsnCd,Status Change Reason Code
AT#stsChngRsnCntnt,Status Change Reason Content
AT#stsChngStaffId,Status Change Staff Identification
AT#stsChngTmstmp,Status Change Timestamp
AT#stsChngTrmnlNbr,Status Change Terminal Number
AT#stsChngTxDt,Status Change Transaction Date
AT#stsChngTxHms,Status Change Transaction Time
AT#stsChngTxIssueOthrArrId,Status Change Transaction Issue Other Arrangement Identification
AT#stsChngTxSeqNbr,Status Change Transaction Sequence Number
AT#stsChngUserNbr,Status Change User Number
AT#stsCntnt,Status Content
AT#stsDscd,Status Dscd
AT#stsEndDt,Status End Date
AT#stsNm,Status Name
AT#stsStartDt,Status Start Date
AT#stsStartHms,Status Start Time
AT#stutDongAddrCntnt,Statutory Dong Address Content
AT#stutDongCd,Statutory Dong Code
AT#stutDongDtlAddr,Statutory Dong Detail Address
